Review,1
He was boring and ruined psychology for me. Nothing he ever said was clear and I would not recommend him if you want to pursue in psych. He's an easy grader but the pop quizzes everyday definitely made it hard to have a good quiz grade.,0
"extremely difficult course. I thought I was going to have to retake it (like many others have to.) The labs are insanely hard and quite time consuming, and the pop quizzes are challenging. I think the tests should have easier questions but be longer. If you miss 2 multiple choice, you drop a letter grade. this course is VERY TIME CONSUMING",1
Hard to understand at times. Tests are ok. Not too forgiving with grades.,1
SO glad to be the hell out of this class,0
"great teacher and very smart , the class is very hard and 1.",1
Do not take her. She really is not interesting and is not a respectful individual. She treats her students like children. Take someone else. Very mean.,0
"Awesome teacher. He's one of the few teachers whose lectures I can actually pay attention to. I'll go into the class dog tired but come out completely energized. Very funny, knowledgeable guy.",0
"very good teacher loved the stories, i think he is one of the best on campus",1
"I thought his class was extremely hard but despite it all, I became a confident writer. People on here say 'you can only get a c on a paper' WRONG. I got an A and a B. You just have to be in it to win it. If you want to get an A, get a different teacher. If you want learn, Go for Rand. He made Eng. 110 worth something.",1
"I feel like people over-react about this class sometimes. Sure, his tests are not easy and he really expects you to know the content, but people shouldn't expect hand-holding at this stage in the game. People complain about arrogance but he was always very respectful when I went to talk to him. Class really separates the men from the boys.",1
"This class was in the top two courses I've taken as a grad student at FIT. This course was challenging and extremely interesting. The discussion format of the course with his enthusiasm about swarm intelligence combined to create a fun and thought-provoking classroom atmosphere. The presentation and paper critiques were invaluable.One of the toughest classes out there, but he is one of the best teachers for it. Great guy, always willing to explain if somebody doesnt get it in the class. Is interested in the future of students; always asking for feedback. Very very tough grader, but one of the better CS majors.",1
"I find everything okay except the grading on tests. I am okay with labs; it doesn't take me long to understand the concepts and to apply them. On tests, if you miss 2 multiple-choice questions, you drop a letter grade!!! It's terrible.",1
Best calc teacher I could ask for. She is very clear about the expectations for quizzes/tests and teaches with examples that usually cover everything we are tested on. The lab sheets often have questions that are similar to the ones on the quizzes. Expect weekly homework on web assign and 3 group projects (easy). GSA was great too.,1
"the class is very important and you will use every thing you will learn in you career however, if you can find a different teacher i advise you too because he makes the class very heavy on the student. most students fail the first time. Good luck",1
"She is the best I ever had. She ginuinly cares about us, she want to know about our persinal life. She is always wiling to meet in her office. We even have her cell phone number. Strict, but fair. Ps:: she looks sexy in Facebook pictures",0
"She is my best teacher in this university. She speaks clearly, she gives such good examples, I can understand what she is talking about. I think she makes the boring class very fun and the time goes fast in her class. She really knows her topic and so she is passionate about it. She is strict with attendence and turning paper in time, but if yo",1
"She spends about five minutes on the lecture, and the rest of the time on applying whatever it is that we've learned, which is just how I like it. She's great about answering questions and clarifying anything you don't understand!",1
"He's an interesting teacher when he lectures but much (most) of the course is done by student presentations. The problem is if a student presentation is missing information and he forgets to cover it, you may not clearly get the information you need for the test. He's also very unorganized. He doesn't seem to have a plan when he gets to class, he just wings it. Getting an ""A"" in the course was a challenge- but 1sible! He would be a great professor if he would just get organized.",1
"He is brilliant in his field, but expects his students to perform at high levels, with unrealistic expectations. Only by a miracle did I get an A, and that was after a heavy curve. He does care about his students though, as he gives lots of time in class for work, while he goes around giving tips and answering questions.",1
"Best mathematics professor I have ever had. Always keeps class entertaining, and she makes the material really easy to understand. Great in class examples. Go to lab and do the practice tests and there is no reason you should not get an A.",1
"Good teacher with tough tests. Quizzes aren't too bad. She seems cruel at first, but after a few weeks she warms up to the class and tries to teach everybody the best she can. However, she isnt too good with outside the box, as in different random ways of doing things that aren't quite conventional.",0
"Every bad thing you see here is true. He is as confused about basic astronomy as I am about how he is a professor at all. The best I can say is that he isn't an intentionally mean or rude person, but I can't say that he's nice because he's so annoying to be around. You'll do better in his course if you don't show up at all to lectures.",0
"Being an engineer, classes like psych are hard for me, but I got an A in her class because she was very helpful, and rewards the amount of effort you put in. Fully recommended: participate in class, put the effort in, show her you're trying and you will score an A. Her being VERY CUTE makes the class so much more enjoyable as well ;)",0
"she is very passionate about the subject which is a bonus bc she taught it well.exams straight from textbook. shes not that bad, she does have a little attitude sometimes but not a reason not to take her. she doesnt give much of direction or instructions which was the only thing i didnt like bc i wasnt sure what exactly she wanted",1
"She is a great teacher, especially for C++! She teaches by lecture and example. She will teach about the basic concepts for the day by slide then she will show us some basic coding to get us to understand the concepts then we will dive into writing programs immediately!",1
"If Sheldon Cooper also taught this class, I would have chosen Sheldon Cooper over this professor.",0
This class is a shock to a lot of students because you actually need to study. If you study properly and don't procrastinate on the assignments you will be fine. He is a busy guy but if you try you will be able to get the help you need. He gives you past exams to help you study but you will need to actually understand the material to do well.,1
one of the best lecturers I have ever seen.,0
He has a major in philosophy which is why all the papers you have to write are based on philosophy. As long as your paper agrees with what he thinks you will get a good grade. Otherwise the class is boring and he talks for an hour about nonsense but it is mandatory to attend otherwise your grade will drop.,0
"Best calc/mth teacher at FIT. Engages your mind & comedy is part of her specialty. Drops 3 quizzes at end of semester (shh, I wasn't sup1ed to tell). Favorite saying: ""If you factor a variable out of an integral, I deny you were in my calc class (or I cross ur name off Dr. Knoll's known student list.) Take her. Teaching is her calling and gift.",1
She is an interesting person .. you can see her as a friend more than a doctor lolz,0
"Terrible at teaching, actually, she doesn't teach. She expects you to just understand the material without any instruction. Terrible.",0
Wouldn't surprise me if this guy turned out to be a fraud who's good at memorizing definitions from the book. I'd wager that his tests don't change that much from year to year because he doesn't understand the material well enough to make new tests. His GSA's are outstanding!,0
"Hard final, useless professor. Prints out the textbook outlines and copies it onto the projector in class, making lecture useless. College classes in general are self study, but for this class you are on your own. Good luck.",0
"the best comp. sci. teacher we have. he's really hard, but his teaching style forces you to learn. he makes you work for your grade such that each aspect ensures that you KNOW the material. better schools like berkeley and mit have teachers similar to him! so feel lucky to take a class with him!",1
"I love her to death! She is the nicest person in the chem department. She really will die trying to help you if you come to her office, and it usually makes all the difference. Lecture may lose you, but def go to her office for help. Tests/quizes not that hard, and her grading is super generous on quizes. Really wants to see you succede.",1
"He doesn't teach at all, takes him 30 mins to go over one question. It is so boring that you will fall asleep. Takes him forever to explain. He makes unfunny jokes. Good part is you will get a easy B or A, I got 60's for all his test, and I still got a A. Just come to class. and sleep. LOL",0
"Fantastic, friendly, fair, funny, fascinating, flawless, fastidious, fervent,forgiving, festive & foxy. As Dr. says: ""thesaurus dot com should be your best friend.""",0
"She is nice, and the class is really easy.",1
"She likes long writings, if you try to be short and clear you would probably get low grade. Give her exact answer that she wants if your answer has the same meaning as hers but phrased differently she won't accept it. She does not accept the fact the people have different opinions, if you in her class you should think like her, strict on grades.",1
Very difficult material. He tries to help make it clearer but he moves too fast. If you ask a question he makes you feel stupid. It is a required course and he is the only one teaching it so GOOD LUCK!!,1
This is worst class I ever took. She's a hard grader and she is very rude when it comes to trying to talk to students about grades. She hurt my GPA & I had to take an extra class in order to get my GPA higher. Please avoid this class.,1
"This is probably one of the best professors I have had. If you do not understand something, reach out to her as she will take the time to help you. It was because of this I was able to pass her class as at first I did not understand the material.",1
"He was a good guy, really... he was. But I felt he had an alter-ego when he left to go home and grade. His expectations and how he picked apart his students papers was simply not fair. Again, great guy but avoid this class with him!!!",1
